               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.042351,             0.16762,             0.02958,             0.46634,             0.95472,             0.79463,              0.3736,            0.038321,             0.13172,            0.028415,            0.006436,            0.006436,            0.006436
                  38,             0.04071,             0.18434,             0.02909,             0.68584,              0.9981,             0.84206,             0.55853,            0.025279,             0.11771,            0.028043,            0.006337,            0.006337,            0.006337
                  39,            0.035416,             0.16546,            0.028469,             0.58854,             0.96993,             0.85668,             0.51279,            0.035414,             0.13455,             0.02785,            0.006238,            0.006238,            0.006238
                  40,            0.039009,             0.15523,            0.028055,             0.66968,             0.98728,             0.84915,             0.51671,            0.044783,             0.14469,            0.027359,            0.006139,            0.006139,            0.006139
                  41,            0.047044,             0.17166,            0.027861,             0.36158,              0.9425,             0.61447,             0.34159,            0.038335,             0.12816,            0.026993,             0.00604,             0.00604,             0.00604
                  42,            0.043005,             0.18328,            0.027475,             0.58289,             0.97146,             0.84967,             0.50026,            0.031626,              0.1177,            0.026843,            0.005941,            0.005941,            0.005941
                  43,            0.032896,              0.1637,            0.027068,             0.39967,             0.95548,             0.70488,             0.43048,            0.037458,             0.13594,            0.026236,            0.005842,            0.005842,            0.005842
                  44,            0.042299,             0.16499,            0.026376,             0.75191,              0.9975,             0.83462,             0.66284,            0.023742,              0.1107,            0.026138,            0.005743,            0.005743,            0.005743
                  45,            0.039428,             0.17673,            0.026309,              0.3762,               0.955,             0.71683,             0.34908,            0.043431,             0.14602,            0.025894,            0.005644,            0.005644,            0.005644
                  46,            0.040022,              0.1728,            0.026026,             0.49707,              0.9325,             0.78526,             0.43845,            0.034469,             0.12549,             0.02554,            0.005545,            0.005545,            0.005545
                  47,            0.041361,             0.17315,            0.025698,             0.51726,             0.97244,             0.82871,             0.47067,            0.033976,             0.12053,            0.025385,            0.005446,            0.005446,            0.005446
                  48,            0.034789,             0.15513,            0.025333,             0.75768,             0.94323,             0.84523,             0.57368,            0.022076,             0.11117,            0.025076,            0.005347,            0.005347,            0.005347
                  49,            0.033003,              0.1638,            0.025287,             0.76315,             0.99109,             0.85042,              0.7069,            0.022314,             0.11326,            0.024695,            0.005248,            0.005248,            0.005248
                  50,            0.033006,             0.16191,            0.024869,             0.60896,              0.9675,             0.83729,             0.52034,            0.033785,              0.1259,            0.024542,            0.005149,            0.005149,            0.005149
                  51,            0.037194,             0.16266,            0.024658,             0.57332,              0.9925,             0.81137,             0.50449,            0.027996,             0.11281,            0.024368,             0.00505,             0.00505,             0.00505
                  52,            0.035302,             0.15434,             0.02445,              0.7195,             0.99628,              0.8431,             0.68489,            0.027089,             0.11268,            0.024011,            0.004951,            0.004951,            0.004951
                  53,            0.032348,              0.1458,             0.02435,              0.7383,               0.995,             0.85195,             0.54204,            0.021717,             0.10119,            0.023782,            0.004852,            0.004852,            0.004852
                  54,            0.033059,             0.14978,            0.023794,             0.77471,             0.97276,             0.84399,             0.63146,            0.027681,             0.11229,            0.023553,            0.004753,            0.004753,            0.004753
                  55,            0.030957,             0.13796,             0.02356,             0.68045,                0.99,             0.84965,             0.67378,            0.030685,             0.11777,            0.023111,            0.004654,            0.004654,            0.004654
                  56,            0.034649,             0.12841,            0.023637,             0.40748,             0.95689,              0.6911,             0.33249,            0.030061,             0.11336,            0.022861,            0.004555,            0.004555,            0.004555
                  57,            0.031997,             0.15558,            0.022603,             0.74244,              0.9925,             0.84793,             0.68523,            0.020572,             0.10006,            0.022583,            0.004456,            0.004456,            0.004456
                  58,            0.027594,             0.13697,            0.022743,             0.75761,             0.98402,             0.86206,             0.60306,            0.026877,             0.11363,            0.022186,            0.004357,            0.004357,            0.004357
                  59,             0.03211,             0.14996,            0.022156,             0.73165,             0.98245,             0.85425,             0.52758,            0.023598,             0.10391,            0.021964,            0.004258,            0.004258,            0.004258
                  60,            0.032855,             0.15017,            0.022046,             0.68087,             0.98031,             0.85625,             0.57243,            0.029153,             0.11293,            0.021826,            0.004159,            0.004159,            0.004159
                  61,            0.032461,             0.15835,            0.021844,             0.75635,             0.98331,             0.86152,             0.70322,            0.026134,             0.10875,            0.021341,             0.00406,             0.00406,             0.00406
                  62,            0.032518,             0.13964,             0.02164,             0.68408,               0.985,             0.80375,             0.51467,            0.022808,             0.10238,            0.021115,            0.003961,            0.003961,            0.003961
                  63,            0.029798,             0.13714,            0.021129,             0.63934,              0.9809,             0.85541,             0.57114,            0.023535,             0.10086,             0.02099,            0.003862,            0.003862,            0.003862
                  64,            0.028196,             0.14003,            0.020964,             0.79597,              0.9925,             0.87047,             0.71293,              0.0191,            0.096816,            0.020563,            0.003763,            0.003763,            0.003763
                  65,            0.026971,             0.13954,            0.020833,             0.69452,                0.99,             0.86981,             0.65914,            0.021601,             0.10109,            0.020358,            0.003664,            0.003664,            0.003664
                  66,            0.028682,             0.12464,            0.020364,             0.77938,              0.9927,             0.87252,             0.53178,             0.02486,             0.10439,            0.020166,            0.003565,            0.003565,            0.003565
                  67,            0.029642,             0.14143,            0.020489,             0.75012,              0.9913,             0.87898,             0.59508,            0.022445,            0.098496,            0.019757,            0.003466,            0.003466,            0.003466
                  68,            0.027453,             0.14092,            0.019887,             0.76702,             0.99423,              0.8744,             0.74111,            0.019347,             0.09666,            0.019534,            0.003367,            0.003367,            0.003367
                  69,            0.027959,             0.13372,            0.019504,             0.77945,               0.985,             0.87925,             0.57363,            0.021501,            0.097656,            0.019324,            0.003268,            0.003268,            0.003268
                  70,             0.02798,             0.13402,            0.019496,             0.77777,              0.9825,             0.88925,             0.63994,            0.021146,            0.096523,            0.018945,            0.003169,            0.003169,            0.003169
                  71,            0.027468,              0.1405,            0.019099,             0.78552,              0.9825,             0.89505,             0.69668,            0.019221,            0.094082,            0.018832,             0.00307,             0.00307,             0.00307
                  72,            0.027051,             0.13673,             0.01924,             0.79968,              0.9875,             0.89891,             0.63588,            0.020427,            0.095234,            0.018686,            0.002971,            0.002971,            0.002971
                  73,            0.025431,             0.13111,             0.01883,             0.68148,              0.9875,             0.90715,             0.64084,            0.023681,              0.1025,            0.018387,            0.002872,            0.002872,            0.002872
                  74,            0.026879,             0.12462,            0.018516,             0.82483,             0.98717,             0.91681,             0.71098,            0.016746,             0.08832,            0.018262,            0.002773,            0.002773,            0.002773
                  75,            0.024689,             0.11893,             0.01845,             0.81885,             0.98406,             0.91703,             0.65413,            0.022503,            0.099531,            0.018076,            0.002674,            0.002674,            0.002674
                  76,            0.023697,             0.12453,            0.018291,              0.8266,             0.98285,             0.92947,             0.74678,            0.022758,             0.10355,            0.017755,            0.002575,            0.002575,            0.002575
                  77,             0.02569,             0.12727,            0.017984,             0.86076,              0.9825,             0.94085,             0.82707,            0.015466,            0.086211,            0.017676,            0.002476,            0.002476,            0.002476
                  78,            0.023103,             0.12527,            0.017791,             0.87044,              0.9825,             0.95751,             0.79584,            0.020129,            0.096934,            0.017566,            0.002377,            0.002377,            0.002377
